gene,gene_name,zscore,effect_size,pvalue,VAR_g,pred_perf_R2,pred_perf_p,pred_perf_q,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000144550,CPNE9,1.64961780655,0.0865017661407,0.099021130687,0.0195281644125,0.0446378591198,9.17938721288e-11,1.9598266977e-10,20,20,20
ENSG00000069974,RAB27A,-1.64900037744,-0.0912557887253,0.0991475573871,0.158542886477,0.181377952006,6.41086253767e-42,3.11922683722e-41,53,53,53
C18orf1,C18orf1,-1.64864191845,-0.0927694531602,0.0992210156452,0.124044968456,0.146728289334,1.36192609968e-33,5.52786707516e-33,39,39,39
ENSG00000104805,NUCB1,1.64860382884,0.088942654675,0.099228823822,0.187849894702,0.242942268797,1.33370694972e-57,8.7524933905e-57,25,26,26
ENSG00000180628,PCGF5,-1.64815384829,-0.0876314124662,0.0993211046701,0.0125778687868,0.0194795231488,2.10905256653e-05,3.51224318546e-05,22,22,22
ENSG00000110108,TMEM109,1.64801153567,0.0878596135413,0.0993503040233,0.0727814971725,0.0901758108734,1.14338947609e-20,3.38265561311e-20,43,43,43
ENSG00000143845,ETNK2,-1.64766662654,-0.0921872118808,0.0994211000464,0.0136335639015,0.00821068359342,0.00589902284047,0.00845625052588,33,33,33
ENSG00000167378,IRGQ,-1.64755998267,-0.0890452754121,0.0994429979041,0.0437972836614,0.052113461758,2.29717772326e-12,5.200434478e-12,22,22,22
ENSG00000104327,CALB1,-1.64735985197,-0.0901921824334,0.0994841023881,0.0389635368037,0.0534781655962,1.16939614908e-12,2.66610986317e-12,11,11,11
ENSG00000176788,BASP1,1.64653456518,0.0906255906488,0.0996537497757,0.139775335672,0.10963776033,4.9762328294e-25,1.65301292802e-24,66,68,68
ENSG00000072756,TRNT1,-1.6459246659,-0.0891297759467,0.099779269954,0.203998201666,0.312601692869,6.12764462513e-77,5.5814112972e-76,26,26,26
ENSG00000163041,H3F3A,1.64460236241,0.090630513224,0.10005183937,0.0147159518682,0.00836125068028,0.00545974025985,0.00785131989982,22,22,22
ENSG00000103494,RPGRIP1L,-1.64393886601,-0.0901237176572,0.100188830911,0.0104441362237,0.00925030472858,0.00346426101805,0.0050495553197,18,18,18
ENSG00000257704,PRR24,1.64364456426,0.0873343253787,0.100249643003,0.267521623313,0.287315830544,1.0525900578e-69,8.44830204224e-69,50,50,50
ENSG00000149575,SCN2B,1.643571386,0.0921155983663,0.100264768524,0.117667154317,0.16178671398,3.59863754023e-37,1.58520585426e-36,41,41,41
ENSG00000143036,SLC44A3,1.64328377769,0.0882853064705,0.100324233117,0.0641466877315,0.103507308798,1.20215603356e-23,3.86185295562e-23,15,15,15
ENSG00000217930,PAM16,1.64272617038,0.100807284512,0.100439601573,0.0740455707451,0.0829891809059,4.44233261887e-19,1.25423286009e-18,45,45,45
ENSG00000176531,PHLDB3,-1.64240500405,-0.0885663094449,0.100506098581,0.446951918896,0.434574917175,4.92966526496e-116,8.11607765059e-115,73,75,75
ENSG00000036448,MYOM2,1.64229436146,0.0900295649999,0.100529015088,0.778733499511,0.667471718549,3.53694055269e-222,2.17687121587e-220,116,116,116
ENSG00000152213,ARL11,-1.64185854676,-0.0943025808487,0.100619322386,0.0293721218229,0.0405372806692,6.89314205133e-10,1.41571142925e-09,20,20,20
ENSG00000139835,GRTP1,1.6414052715,0.0897781024865,0.100713316351,0.121805497871,0.133453752097,1.73164697056e-30,6.57277298248e-30,54,55,55
ENSG00000168874,ATOH8,-1.64115179478,-0.0932167896836,0.10076590935,0.714035160624,0.774564731463,7.33361779461e-300,1.2878810663e-297,33,33,33
ENSG00000133048,CHI3L1,1.64022670573,0.0889650451375,0.100958038558,0.419353373166,0.496702759678,2.57452098415e-139,5.93853167814e-138,34,35,35
C20orf111,C20orf111,1.63991704862,0.0891441766028,0.101022415554,0.150928313713,0.212950409593,8.22299032214e-50,4.65427612948e-49,29,29,29
ENSG00000103353,UBFD1,1.63982580959,0.0872663059596,0.101041390173,0.00749067250041,0.00746712506837,0.00865926161354,0.0122596081599,22,23,23
ENSG00000138613,APH1B,1.63962489096,0.0917376282111,0.101083184435,0.0353585601865,0.0245891286816,1.71332207068e-06,3.02617205216e-06,57,57,57
ENSG00000205784,ARRDC5,1.63950986615,0.0900798266269,0.101107117617,0.151260825657,0.185339119818,6.81168821701e-43,3.37661819745e-42,35,35,35
ENSG00000140548,ZNF710,1.63942675553,0.0927984577383,0.101124413232,0.0199585775582,0.0286000342549,2.39950239269e-07,4.41271237281e-07,16,16,16
ENSG00000196739,COL27A1,-1.63880846861,-0.0936087012385,0.101253154926,0.0867735579975,0.10615523012,3.04540654453e-24,9.94571028961e-24,44,44,44
