gene,gene_name,zscore,effect_size,pvalue,VAR_g,pred_perf_R2,pred_perf_p,pred_perf_q,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000150938,CRIM1,-4.19069760413,-0.231471478373,2.78098095601e-05,0.0983344808163,0.13320775358,1.97496173512e-30,7.47907447189e-30,37,37,37
ENSG00000171055,FEZ2,3.97075348924,0.218546388006,7.16456810029e-05,0.23453565545,0.261426523524,1.48264755477e-62,1.06245652578e-61,24,24,24
ENSG00000163995,ABLIM2,-3.65940334247,-0.205860756836,0.000252803173193,0.0183096836859,0.0219411680431,6.28445795393e-06,1.07903266473e-05,30,31,31
ENSG00000148290,SURF1,-3.64844708289,-0.199513187969,0.000263830229484,0.304104191159,0.33451770236,1.99333319453e-83,2.03363218475e-82,79,80,80
ENSG00000106948,AKNA,-3.64643174259,-0.202144263884,0.000265907068301,0.0318390498829,0.0736112614122,5.07715379037e-17,1.34495560283e-16,9,9,9
ENSG00000174306,ZHX3,3.59618143401,0.196597491001,0.000322922613027,0.00632513808317,0.00666029842975,0.0131811555203,0.0184044311839,14,14,14
EFHA1,EFHA1,-3.47089854467,-0.194073732125,0.00051871994536,0.072892025377,0.0899616956327,1.27557974451e-20,3.76358889224e-20,27,27,27
ENSG00000182118,FAM89A,3.33698080012,0.182571467702,0.000846937986942,0.147107349684,0.222578978913,2.79540471948e-52,1.66222463026e-51,17,17,17
ENSG00000154914,USP43,3.32615514849,0.178606438585,0.000880529018954,0.0381102512219,0.0583674054464,1.03521890008e-13,2.44879097216e-13,32,32,32
ENSG00000140521,POLG,3.30977284347,0.182266780351,0.000933717140777,0.00306278623238,0.00332532759967,0.0801067403218,0.104629698213,10,10,10
ENSG00000146707,POMZP3,3.27284696105,0.180261080964,0.00106470108379,0.726108944946,0.648702759178,3.34218412786e-211,1.78218247563e-209,111,111,111
ENSG00000107960,OBFC1,3.25809143994,0.183528815784,0.0011216425803,0.0172551182496,0.0360441539728,6.25174489258e-09,1.23155447173e-08,7,7,7
ENSG00000125458,NT5C,3.25152556094,0.182489421493,0.00114787453632,0.0543352568638,0.0775424754674,6.99936056344e-18,1.90079542229e-17,25,25,25
ENSG00000167965,MLST8,3.24363139844,0.178242066514,0.00118016362258,0.17074433924,0.222516785278,2.90058891818e-52,1.72399172569e-51,11,11,11
ENSG00000136052,SLC41A2,3.23390507824,0.177553423481,0.00122110032842,0.0147673262722,0.0173615699509,5.99514504749e-05,9.75683373538e-05,32,32,32
ENSG00000005884,ITGA3,3.23121948486,0.195883764064,0.00123263248106,0.0623211013783,0.114924800015,3.14083662449e-26,1.08066769021e-25,12,12,12
ENSG00000154813,DPH3,-3.22434339813,-0.175602832262,0.00126261893262,0.0992404820703,0.112939946953,8.87708472209e-26,3.01030079492e-25,35,36,36
ENSG00000206561,COLQ,3.20262638932,0.17648650225,0.00136180528025,0.0540169057877,0.0914446883773,5.97612176546e-21,1.78362791237e-20,18,18,18
ENSG00000101082,SLA2,-3.18547844688,-0.174197123034,0.0014451486812,0.00182025656138,0.000503849183204,0.496036389168,0.593288710655,4,4,4
ENSG00000083123,BCKDHB,-3.16844199122,-0.180841834923,0.00153258329735,0.0809559469055,0.0846819924178,1.88020484484e-19,5.36485658827e-19,70,70,70
ENSG00000153310,FAM49B,-3.13967671111,-0.172841372972,0.00169134372276,0.00244117195966,0.00109193363478,0.316204394037,0.388355844262,13,14,14
ENSG00000165699,TSC1,-3.13639914969,-0.167550208634,0.00171036249561,0.00277867978911,0.00420967838636,0.0488945175551,0.065049463709,11,11,11
ENSG00000140374,ETFA,-3.13304828592,-0.17501435938,0.0017300097935,0.212903126481,0.230959195156,1.8763873734e-54,1.16027690587e-53,31,31,31
ENSG00000172794,RAB37,3.12991530633,0.170838624856,0.00174856708725,0.00702131305854,0.0101103296759,0.0022374500587,0.00330931552197,15,15,15
ENSG00000144320,KIAA1715,3.12656177824,0.173083238847,0.00176863340764,0.164516095374,0.254552567048,1.06537270691e-60,7.37363317013e-60,60,61,61
ENSG00000141068,KSR1,-3.12354710667,-0.169426555055,0.00178685259891,0.208492563514,0.242717742982,1.52932372813e-57,1.00262433167e-56,29,29,29
ENSG00000187147,RNF220,-3.11081691513,-0.173199814859,0.00186570575972,0.000602868056574,0.000959617053604,0.347438196922,0.42465743241,5,5,5
ENSG00000126814,TRMT5,-3.09670500441,-0.177911703115,0.00195684502158,0.0443830289246,0.0230045027208,3.72816698707e-06,6.46781972955e-06,44,44,44
ENSG00000214530,STARD10,3.08329354991,0.168874511729,0.00204723102058,0.28784065611,0.48280040783,7.24938395861e-134,1.55507550682e-132,19,20,20
ENSG00000159212,CLIC6,3.07739528514,0.166013458687,0.00208818191151,0.0793613991499,0.0689389721659,5.30273084059e-16,1.36277595905e-15,74,74,74
ENSG00000101558,VAPA,-3.07266824552,-0.168249944908,0.00212154201746,0.246838919559,0.325015575696,1.37444971414e-80,1.33897020598e-79,51,51,51
ENSG00000106153,CHCHD2,3.07256827506,0.176546369865,0.00212225278625,0.673491815464,0.758221389653,7.11383038171e-286,9.65940824304e-284,21,21,21
ENSG00000165138,ANKS6,-3.04716213484,-0.164222090975,0.00231013066527,0.170206524898,0.232169607402,9.06814953642e-55,5.63912169708e-54,31,31,31
ENSG00000105193,RPS16,-3.04388937688,-0.165960190388,0.00233540999606,0.000813719148981,3.4247706341e-07,0.985841770437,1.0,5,5,5
ENSG00000189376,C8orf76,3.03224432413,0.173015409579,0.00242742639088,0.000611103840637,0.00020378038463,0.665093480706,0.780535171913,4,4,4
ENSG00000125450,NUP85,3.02348441929,0.174041817018,0.00249881895764,0.244716971316,0.273774458099,6.20711660484e-66,4.66365845992e-65,33,34,34
ENSG00000253710,ALG11,-3.02318895015,-0.166039208857,0.00250126016008,0.0345377316393,0.0351408880401,9.7348063335e-09,1.90346101868e-08,28,28,28
ENSG00000116991,SIPA1L2,3.01630027636,0.162585423164,0.00255879725091,0.0754952309376,0.124394124458,2.14417561239e-28,7.76703437592e-28,32,32,32
ENSG00000121742,GJB6,-3.0040036495,-0.160169783993,0.00266452128825,0.281565329815,0.396695186636,4.64418758645e-103,6.29954631319e-102,54,55,55
ENSG00000137478,FCHSD2,-3.00058635422,-0.161334389132,0.002694603366,0.0127445548935,0.0227037546431,4.32132171736e-06,7.47519416067e-06,14,14,14
ENSG00000104447,TRPS1,-3.00020744069,-0.161560832092,0.0026979579439,0.00169540329987,0.000803945680984,0.389812920131,0.473200550327,4,4,4
ENSG00000123485,HJURP,-2.99307593897,-0.159978621508,0.00276181020279,0.00113805012678,3.29733938797e-05,0.861767170988,0.994858042692,6,7,7
ENSG00000100721,TCL1A,2.98816492575,0.15926025361,0.00280658058918,0.0379874709049,0.0675303508558,1.07365675836e-15,2.72416358396e-15,15,15,15
ENSG00000186951,PPARA,-2.98531494014,-0.165471586434,0.00283286491641,0.0223310269307,0.00745577524929,0.00871034892289,0.0123253121684,49,49,49
ENSG00000125445,MRPS7,-2.9754366958,-0.170284463397,0.00292571728198,0.358714572733,0.418598246913,1.85136750146e-110,2.7995822459e-109,14,14,14
ENSG00000125454,SLC25A19,-2.9483532753,-0.1669414536,0.00319471752007,0.0121679747514,0.027587323097,3.94092153468e-07,7.16833000046e-07,7,7,7
ENSG00000105519,CAPS,2.94501777139,0.161389968526,0.00322936113608,0.140971925439,0.199959619114,1.58150287749e-46,8.35873772046e-46,17,17,17
ENSG00000168461,RAB31,-2.93803320556,-0.160382389159,0.00330301644439,0.0949821074652,0.174278101289,3.47257829194e-40,1.63114581609e-39,16,17,17
ENSG00000204618,RNF39,2.93671408077,0.16314951489,0.00331709779117,0.0919709392037,0.0988772251165,1.31465749291e-22,4.10900660635e-22,32,32,32
ENSG00000187010,RHD,-2.92216000181,-0.157212603483,0.00347612915584,0.649350254493,0.686764381575,3.99976291231e-234,2.97632075243e-232,50,51,51
ENSG00000184056,VPS33B,2.90675678941,0.158228006856,0.00365197016404,0.178435158218,0.204711184354,1.00922663105e-47,5.47242649551e-47,33,33,33
ENSG00000123416,TUBA1B,-2.90154832005,-0.161064983486,0.00371323507858,0.0485316699475,0.0628864285818,1.092239202e-14,2.66553317205e-14,23,23,23
ENSG00000170906,NDUFA3,-2.89165969705,-0.162836774194,0.00383212779575,0.24240123609,0.339959434335,4.52682396313e-85,4.73572664165e-84,11,11,11
ENSG00000145014,TMEM44,2.89098331533,0.164104308634,0.00384038508498,0.14176352659,0.204389503827,1.21651093048e-47,6.57744887738e-47,32,32,32
ENSG00000114933,INO80D,-2.88879738758,-0.159069524123,0.00386718162046,0.0109298491044,0.00226071600425,0.14913441611,0.189819230246,32,32,32
ENSG00000067167,TRAM1,-2.88639087966,-0.164745764038,0.00389687851436,0.0272765049344,0.0181360944771,4.08985031376e-05,6.71412420323e-05,48,48,48
ENSG00000159023,EPB41,2.88542440819,0.161374531055,0.00390886319531,0.00181437037604,0.00207943015743,0.166516593245,0.210802580703,4,4,4
HIST1H2AD,HIST1H2AD,-2.88411285829,-0.162614619607,0.00392518054574,0.013882472433,0.00938969081422,0.00322672893936,0.00471637408283,31,31,31
ENSG00000136108,CKAP2,-2.87441243992,-0.156118819721,0.00404779989351,0.512276125275,0.556158001443,1.87074942191e-164,5.75692538225e-163,34,35,35
ENSG00000117226,GBP3,-2.87015183058,-0.157529287704,0.00410274745293,0.849777639238,0.843640848554,0.0,0.0,18,18,18
ENSG00000137845,ADAM10,-2.85705358195,-0.160851163236,0.00427593648959,0.0412896450361,0.0580585995597,1.20683975948e-13,2.84606740771e-13,27,28,28
ENSG00000132965,ALOX5AP,2.85522584659,0.155624543338,0.00430062345976,0.206651367987,0.261727733346,1.22828621684e-62,8.80661827e-62,60,60,60
ENSG00000107968,MAP3K8,2.85019117188,0.157474978204,0.00436929586611,0.0514490161325,0.0336204545753,2.0509816912e-08,3.95859904085e-08,59,59,59
ENSG00000158104,HPD,-2.85013623013,-0.15479882092,0.0043700507175,0.576354727293,0.628767644585,3.60979877301e-200,1.68598083827e-198,23,23,23
ENSG00000175792,RUVBL1,-2.84631457338,-0.148692042667,0.00442284792588,0.00333596843504,0.0110430896013,0.00139634966081,0.00209206249375,2,2,2
ENSG00000147689,FAM83A,-2.83502628492,-0.159423836395,0.00458219154316,0.1959921982,0.302952681189,3.7914356403e-74,3.25110669391e-73,17,17,17
ENSG00000160505,NLRP4,-2.82698090718,-0.155549157998,0.00469891294295,0.114575686908,0.133566218219,1.63060752467e-30,6.19461543336e-30,35,35,35
ENSG00000113851,CRBN,-2.8259445505,-0.154289389499,0.00471414237433,0.0846769065426,0.133085031888,2.1088135069e-30,7.98366849651e-30,17,17,17
ENSG00000132879,FBXO44,2.81824332564,0.156747171948,0.00482872010092,0.208899140658,0.311066140083,1.71446475683e-76,1.54665858303e-75,39,39,39
ENSG00000188612,SUMO2,-2.81789335272,-0.158070340678,0.00483398630535,0.0685650073647,0.101482698086,3.42626914659e-23,1.0879313146e-22,23,23,23
ENSG00000182636,NDN,-2.79961320887,-0.153844690875,0.00511638723061,0.105019120679,0.152905948492,4.7173179511e-35,1.97998071173e-34,17,17,17
ENSG00000140463,BBS4,2.79885349636,0.147974474408,0.00512844000913,0.167612272784,0.271554628801,2.53722795128e-65,1.89014871868e-64,9,9,9
ENSG00000011198,ABHD5,2.78993545548,0.156135530149,0.00527185501059,0.00187115485646,0.00120288915998,0.292795499791,0.360918065302,7,7,7
ENSG00000152078,TMEM56,-2.78293109862,-0.149728370659,0.00538702450572,0.00940340437267,0.0118767208333,0.000918016840431,0.00139460205367,14,14,14
ENSG00000182934,SRPR,2.78114278641,0.149860121572,0.00541679067011,0.00436650744552,0.00556855445407,0.0234535270887,0.0320409091676,11,11,11
ENSG00000177885,GRB2,-2.76876023357,-0.156968750835,0.00562700281682,0.0148773451764,0.024706763792,1.61727660594e-06,2.8599825694e-06,22,22,22
ENSG00000198836,OPA1,2.76156026602,0.147705837508,0.00575258987356,0.0977125630332,0.151035566723,1.30902574679e-34,5.44057371756e-34,17,17,17
ENSG00000008277,ADAM22,-2.75053244909,-0.148538155846,0.00594984983857,0.0095189885201,0.017448260975,5.74378672141e-05,9.36627645261e-05,15,15,15
ENSG00000180340,FZD2,2.74999336122,0.149047126477,0.00595964721153,0.108163671266,0.163411252326,1.46702288342e-37,6.5299622837e-37,26,26,26
ENSG00000197859,ADAMTSL2,-2.74923809666,-0.148046067866,0.00597339782685,0.0410897897631,0.0664879322204,1.80862359294e-15,4.55040713325e-15,19,20,20
ENSG00000115947,ORC4,2.74842252594,0.148801680584,0.00598827849494,0.00906255004658,0.0134077448285,0.000426623682205,0.000660988180017,24,24,24
ENSG00000153339,TRAPPC8,2.74787700034,0.146869155688,0.00599825063192,0.0138986154909,0.0182744745578,3.81992547489e-05,6.27804322807e-05,14,14,14
ENSG00000127249,ATP13A4,2.74528497658,0.150570466747,0.00604583722865,0.271272735455,0.320494760273,2.98343950203e-79,2.83104334879e-78,34,34,34
ENSG00000183060,LYSMD4,2.74221603945,0.152072009395,0.00610261894354,0.250860652228,0.316256350435,5.24585957331e-78,4.88636608487e-77,40,40,40
ENSG00000183726,TMEM50A,-2.73851114844,-0.147355213881,0.00617180678717,0.457340894682,0.519440581777,1.46348529116e-148,3.78694789191e-147,54,54,54
ENSG00000184708,EIF4ENIF1,-2.72738483611,-0.149664652017,0.00638385373727,0.000286498523165,0.00247866568237,0.130886123518,0.167515414717,3,3,3
ENSG00000165716,FAM69B,-2.72505130086,-0.150167844801,0.00642914967255,0.311289785278,0.390770797412,4.1914426977e-101,5.53716065912e-100,21,21,21
ENSG00000146700,SRCRB4D,-2.72446642576,-0.14787232408,0.00644054782901,0.131839218694,0.184166380488,1.32432898243e-42,6.52552825572e-42,15,15,15
ENSG00000168237,GLYCTK,-2.72237442963,-0.153554026002,0.0064814660056,0.200950536205,0.242428697008,1.82386781524e-57,1.19394448283e-56,25,25,25
ENSG00000151650,VENTX,-2.72231497623,-0.149686661073,0.00648263228784,0.17776007276,0.189484509485,6.44697795533e-44,3.24964204553e-43,60,60,60
ENSG00000183735,TBK1,-2.72078868233,-0.145028700888,0.00651263791325,0.0171808432804,0.0266261996464,6.31152851926e-07,1.13626492793e-06,9,9,9
FXC1,FXC1,-2.71774813507,-0.148483385627,0.00657278503375,0.122432838593,0.161053729222,5.39176236405e-37,2.36202007256e-36,31,31,31
ENSG00000148200,NR6A1,-2.71423013468,-0.146865496817,0.0066429999999,0.000289771868772,0.000196043948033,0.671132628495,0.787271807081,1,1,1
ENSG00000173715,C11orf80,-2.7131700106,-0.150204517915,0.00666429061011,0.113620398038,0.116978394915,1.06955011216e-26,3.71004596453e-26,53,54,54
ENSG00000214212,C19orf38,2.71161439493,0.147692353238,0.00669564330526,0.00416684209652,0.00312024655545,0.0900458812923,0.116961962771,9,9,9
ENSG00000254997,KRTAP5-9,2.69887402782,0.148217956216,0.00695745067453,0.0691205504841,0.122776762773,5.04342834745e-28,1.80950680371e-27,18,18,18
ENSG00000183137,CEP57L1,2.69641634639,0.15233828226,0.00700900000002,0.000277119127563,0.00474378667085,0.0365278226569,0.0491126941828,1,1,1
NDUFA13,NDUFA13,-2.68708795703,-0.148892923611,0.00720779698295,0.000844985091193,7.45789400848e-06,0.934002310186,1.0,2,2,2
ENSG00000101445,PPP1R16B,-2.68400341316,-0.150874804041,0.00727463635895,0.0128243255357,0.0140168328044,0.000314891655893,0.000491577337889,12,13,13
ENSG00000130513,GDF15,-2.68347315373,-0.145850439791,0.00728618247965,0.654704935571,0.672357206563,3.8921007164e-225,2.56314292679e-223,51,51,51
ENSG00000110717,NDUFS8,-2.68203711269,-0.148369609556,0.00731753413149,0.173239982271,0.23817113765,2.42328163006e-56,1.5569288951e-55,16,16,16
ENSG00000244754,N4BP2L2,2.67770361094,0.146138185114,0.00741287819963,0.00833538810583,0.0119530479885,0.000883505849043,0.00134496712179,14,14,14
ENSG00000215883,CYB5RL,2.67685722029,0.152147849541,0.00743162971622,0.00611362662285,0.00615176029611,0.0172179890525,0.0238012315083,9,9,9
ENSG00000204345,CD300LD,2.67494946007,0.142872230304,0.00747405164479,0.503281352709,0.549797424453,1.30951513432e-161,3.95587702616e-160,78,79,79
ENSG00000165689,SDCCAG3,2.67483549272,0.145817294645,0.00747659274153,0.238611823037,0.307096414729,2.42508115822e-75,2.13365022946e-74,56,56,56
ENSG00000204852,TCTN1,2.66212185654,0.14560496154,0.0077649762042,0.0123453878863,0.0123255240349,0.000732959517244,0.00112097187664,16,16,16
ENSG00000151948,GLT1D1,2.65727322956,0.146376869058,0.00787755686322,0.0180761744779,0.0245039219249,1.78643728754e-06,3.1510868507e-06,27,27,27
ENSG00000196961,AP2A1,-2.64803364954,-0.142720543547,0.00809614661549,0.0158254979609,0.00756469223169,0.00823252501446,0.0116767808492,41,41,41
ENSG00000198742,SMURF1,2.6438848248,0.145144292818,0.00819605395853,0.0262542139799,0.0241073094542,2.17007628936e-06,3.81195983024e-06,23,23,23
ENSG00000135437,RDH5,-2.63658685795,-0.146355749501,0.00837447574306,0.204986354425,0.321161874035,1.8968807888e-79,1.80649435064e-78,11,11,11
ENSG00000197701,ZNF595,-2.6338693849,-0.145708290996,0.00844179555341,0.261446013492,0.158510293194,2.18718442683e-36,9.46056029091e-36,101,103,103
ENSG00000179889,PDXDC1,2.63309486157,0.149772395153,0.00846107120129,0.00956165298627,0.00707781677966,0.0105998646178,0.0149236576035,13,13,13
ENSG00000158023,WDR66,-2.62985214752,-0.143657699957,0.00854220103595,0.0113631398819,0.0162502608128,0.000103878845944,0.000166663760048,12,12,12
ENSG00000188641,DPYD,2.62730786238,0.144854465916,0.00860634300041,0.138855101746,0.132899204772,2.32892222528e-30,8.79674064502e-30,108,108,108
ENSG00000169758,C15orf27,2.6249949027,0.144790501852,0.00866502644483,0.0192808892443,0.0258783449964,9.10585697053e-07,1.62930637358e-06,16,16,16
ENSG00000125449,ARMC7,-2.6188646506,-0.146894285059,0.00882229440807,0.0737794852824,0.086983295399,5.82923932552e-20,1.68963272791e-19,42,42,42
WDR67,WDR67,-2.61721204583,-0.14637801442,0.00886512509748,0.00865525106176,0.00671816190767,0.0127880566825,0.017887796789,22,22,22
ENSG00000134759,ELP2,-2.61095853458,-0.14202410808,0.00902888405661,0.300351431111,0.371166797968,9.13403493628e-95,1.09867008352e-93,35,35,35
ENSG00000167996,FTH1,2.60891771735,0.144781188242,0.00908290796815,0.0135754731457,0.0168210939404,7.83136472585e-05,0.000126545092386,16,17,17
ENSG00000171425,ZNF581,-2.60447093106,-0.147221339018,0.00920162261693,0.0103557747931,0.0289648418529,2.00681208662e-07,3.7034779309e-07,10,10,10
ENSG00000023330,ALAS1,2.60438262466,0.145331086422,0.00920399406747,0.0317737283757,0.023797588727,2.52618172246e-06,4.42039849428e-06,41,41,41
ENSG00000185585,OLFML2A,-2.59527076594,-0.140658732019,0.00945164275212,0.0148126012296,0.00861131336882,0.00480237407403,0.00693477348196,22,22,22
ENSG00000130332,LSM7,2.59434449492,0.142164060599,0.0094771474433,0.0919591384557,0.127822047161,3.48190099296e-29,1.28423741188e-28,35,35,35
ENSG00000165434,PGM2L1,-2.59156138776,-0.142497890808,0.00955414943459,0.0217498049888,0.0195625025257,2.02460038929e-05,3.37672682377e-05,20,20,20
ENSG00000151090,THRB,2.58919908376,0.138047726197,0.00961994600958,0.00140098443745,0.000664821080699,0.434221192259,0.523633704747,3,3,3
ENSG00000137842,TMEM62,-2.58886617532,-0.134875811727,0.00962925081699,0.00897277825314,0.0140294422261,0.000312920207457,0.000488615536741,6,6,6
C9orf86,C9orf86,2.58266665052,0.142293322904,0.00980399999987,6.66795718665e-05,0.00388971957002,0.0583535359175,0.0770887082818,1,1,1
ENSG00000101347,SAMHD1,-2.58125873454,-0.139041714146,0.0098440772684,0.0187042100218,0.0214645600983,7.94280543879e-06,1.35528812585e-05,17,17,17
ENSG00000126934,MAP2K2,-2.57496343349,-0.14905570264,0.0100250684591,0.0362792562834,0.0422715326368,2.93982057433e-10,6.13927014183e-10,20,20,20
ENSG00000039560,RAI14,-2.56853868105,-0.143117079325,0.0102128313467,0.0757567584745,0.0598155456779,5.03986426295e-14,1.20537592532e-13,52,55,55
ENSG00000101236,RNF24,-2.56725052523,-0.14246041159,0.0102508521918,0.115745431426,0.16413274259,9.84301265493e-38,4.39167749587e-37,20,20,20
CCDC103,CCDC103,2.56652477266,0.142335542935,0.0102723287455,0.190436503597,0.241323941675,3.57350083294e-57,2.33002868667e-56,36,36,36
ENSG00000168913,ENHO,-2.56361981752,-0.141294108598,0.0103586940387,0.0114628894555,0.0053002110655,0.0270673923761,0.0368061764387,21,21,21
ENSG00000125779,PANK2,-2.5578606805,-0.142334740657,0.0105318277054,0.0744180442171,0.119887123452,2.31634116822e-27,8.16828099777e-27,18,18,18
ENSG00000188177,ZC3H6,2.55649689858,0.140346640846,0.0105732013609,0.0246071485,0.0204311738923,1.32022850099e-05,2.22818164872e-05,47,48,48
ENSG00000169252,ADRB2,-2.54941420687,-0.141016339315,0.0107904056755,0.0263473827071,0.04329270047,1.77930768418e-10,3.75144253376e-10,18,18,18
ENSG00000140525,FANCI,2.54801088004,0.140347831525,0.0108339092143,0.0121738185533,0.00691346864492,0.0115477606006,0.0162010603825,25,25,25
ENSG00000124507,PACSIN1,2.54708220697,0.139420866753,0.0108627840047,0.00263402310832,0.00285446023321,0.104965454181,0.135525928538,6,6,6
ENSG00000156587,UBE2L6,2.54637935483,0.140569759288,0.010884682906,0.001241430967,2.58953427081e-05,0.877366581665,1.0,8,8,8
ENSG00000240038,AMY2B,-2.5399854267,-0.139173207143,0.0110857087978,0.12733795361,0.123542225774,3.36511122256e-28,1.21164242516e-27,50,51,51
ENSG00000101220,C20orf27,-2.53951960635,-0.140343020051,0.0111004823315,0.331477005068,0.335301283348,1.15799911719e-83,1.18416198544e-82,128,128,128
ENSG00000165025,SYK,2.53710578306,0.138983480787,0.0111773174262,0.272469364855,0.32110742176,1.96834283926e-79,1.87184429862e-78,65,65,65
ENSG00000171130,ATP6V0E2,2.53547004672,0.137421777442,0.0112296531609,0.487717865241,0.452741526762,1.4453829135e-122,2.59361557953e-121,106,107,107
ENSG00000144791,LIMD1,-2.53499039691,-0.13912109319,0.0112450408662,0.0352934549663,0.0611136215431,2.64179331431e-14,6.36339790469e-14,11,11,11
ENSG00000129646,QRICH2,2.53154737834,0.144234306879,0.0113560474543,0.191615139601,0.210864431576,2.79206635874e-49,1.5641984692e-48,92,95,95
ENSG00000197498,RPF2,-2.52950810033,-0.136433337549,0.0114222537375,0.177215632028,0.238447697094,2.04936069647e-56,1.31861894153e-55,8,8,8
ENSG00000042493,CAPG,-2.52930077522,-0.142095666713,0.011429003811,0.479423362672,0.542814324929,1.5660629303e-158,4.57352879268e-157,47,47,47
ENSG00000177191,B3GNT8,2.5257237179,0.139737477584,0.0115460242025,0.00901792727668,0.00613524902851,0.017368590485,0.0240068952963,16,16,16
ENSG00000177542,SLC25A22,2.52545549482,0.133309743408,0.0115548415956,0.00279837853866,0.00692031872292,0.0115065685098,0.0161467093376,7,7,7
JMJD5,JMJD5,2.52486211922,0.137659877212,0.0115743690777,0.129163697367,0.181817632141,5.00114044273e-42,2.43782460293e-41,9,9,9
ENSG00000154645,CHODL,-2.52436094144,-0.141417886831,0.0115908852147,0.105744710099,0.16404830217,1.03138048912e-37,4.60017352597e-37,14,14,14
ENSG00000166963,MAP1A,2.52215024803,0.136578886478,0.0116639876622,0.0207788244553,0.0343751098893,1.4169112374e-08,2.75333990969e-08,16,16,16
ENSG00000162654,GBP4,-2.52099357127,-0.137284915436,0.0117023990053,0.0441187294227,0.0621838654488,1.55023085032e-14,3.76023766659e-14,30,32,32
ENSG00000187990,HIST1H2BG,2.52066387233,0.136344427727,0.0117133682989,0.0294721303103,0.0364674957263,5.0797733776e-09,1.00519373733e-08,21,21,21
ENSG00000152457,DCLRE1C,-2.51812886,-0.141191672157,0.0117980148898,0.173743283303,0.253859269356,1.6360708782e-60,1.12761326723e-59,40,41,41
ENSG00000108306,FBXL20,2.5175031156,0.138956674594,0.0118189924235,0.00182689802426,0.00017090693203,0.691782597118,0.810052328115,4,4,4
ENSG00000168101,NUDT16L1,2.51580498949,0.131610997269,0.0118760873986,0.000861629097065,0.000360779302092,0.56460316606,0.670126007045,4,4,4
ENSG00000105829,BET1,2.51555561458,0.136402340612,0.01188449253,0.0450782663014,0.069546765158,3.910155929e-16,1.01001497825e-15,18,18,18
ENSG00000172183,ISG20,-2.51018359309,-0.13773294584,0.0120668406802,0.166489927227,0.220219559454,1.13272164139e-51,6.67819012479e-51,20,20,20
ENSG00000103495,MAZ,2.50829517837,0.132808347693,0.0121315277459,0.000888207367368,0.000553829397297,0.475404214446,0.570009003957,3,3,3
ENSG00000026508,CD44,2.5013966135,0.138350264535,0.0123704555195,0.0182598125742,0.0490341250452,1.0515952795e-11,2.32080452853e-11,8,8,8
ENSG00000182511,FES,-2.50048127382,-0.136593615988,0.0124024689738,0.202626473377,0.289840598734,2.04827699428e-70,1.66222158297e-69,43,43,43
ENSG00000069493,CLEC2D,-2.49558823128,-0.139437225423,0.0125748478198,0.140749907094,0.187493563069,2.00331771313e-43,1.000974871e-42,38,38,38
ENSG00000114315,HES1,2.4792151709,0.144305955808,0.01316718473,0.0332696296489,0.0340426826866,1.6676270477e-08,3.23337492202e-08,22,22,22
ENSG00000197619,ZNF615,-2.47909230527,-0.132794088007,0.013171721423,0.0187019386448,0.0288033992344,2.1719711465e-07,4.00154314876e-07,21,21,21
ENSG00000111647,UHRF1BP1L,-2.47562980037,-0.135515518376,0.0133001406196,0.102856725204,0.155819035085,9.58203378705e-36,4.09092275557e-35,31,33,33
ENSG00000144040,SFXN5,2.47560116551,0.135164815004,0.0133012072425,0.052781458703,0.0638611778945,6.71702602943e-15,1.65209990352e-14,26,26,26
ENSG00000171988,JMJD1C,-2.47544984249,-0.132325785242,0.0133068451453,0.00485372193174,8.84852540868e-05,0.775454978521,0.902094817356,17,17,17
ENSG00000106123,EPHB6,2.47470159697,0.134455684517,0.0133347538885,0.186067934963,0.212455489669,1.09929737374e-49,6.20876745692e-49,69,71,71
ENSG00000121892,PDS5A,-2.47441801266,-0.13902480188,0.0133453447872,0.000849354785716,0.000330350414949,0.581505284788,0.689131375377,2,2,2
ENSG00000109861,CTSC,-2.47330905337,-0.135997322831,0.0133868320226,0.512360308712,0.592848672291,1.04912388561e-181,3.95931538606e-180,45,45,45
ENSG00000196126,HLA-DRB1,2.47046022229,0.134667959798,0.0134939325161,0.729228501501,0.747469410286,3.52703009776e-277,4.38250126581e-275,73,73,73
ENSG00000109272,PF4V1,2.46939317218,0.14048214268,0.0135342422574,0.570416445886,0.578113012089,1.34523720067e-174,4.66266293947e-173,37,37,37
ENSG00000114302,PRKAR2A,2.46737691568,0.132030746554,0.0136107005196,0.0107743124739,0.00949295152127,0.00306146720255,0.00448178109645,21,21,21
ENSG00000125744,RTN2,2.46660219442,0.127073309129,0.0136401799676,0.0490280261843,0.0800985469857,1.92249378331e-18,5.31957260923e-18,8,8,8
ENSG00000197405,C5AR1,2.46491193891,0.137626593728,0.0137046928727,1.62058000891e-05,0.00788126443845,0.00699000962459,0.00996163349551,2,2,2
ENSG00000197024,ZNF398,-2.46418049349,-0.135193618292,0.0137326937919,0.00231303300948,0.000948552695132,0.350234233687,0.427757334189,11,11,11
ENSG00000100324,TAB1,2.46346007361,0.133946006168,0.0137603220134,0.014487783946,0.0137501757921,0.000359639320358,0.000559708080875,16,16,16
ENSG00000173473,SMARCC1,-2.46221338037,-0.137099776817,0.0138082488937,0.00168242954548,0.00105305699481,0.324980565613,0.398688434211,3,3,3
